darija,tgt,src
كيفاش كاتحسّ,how are you feeling,كيفاش كايشعر
أنا غير ساخيفا,I'm not a fan,ماشي معجب بيك
شحال رادي تابقا هنا?,How long have you been here?,شحال من وقت و انت هنا؟
"عمّرها, لايخلّيك.","She's old, she's not leaving you.",راه كبار فالعمر، ما غاديش تتركك.
حتال غدّا,tomorrow,غدا
تولدات نهار لعيد أُ تافقنا نساميوها فتنا كيف ف ياوميا,It's Christmas day and we've had our cake as a family,هادي عيد الميلاد، و كنا كايكلوا الكيكا ديالنا ككل العائلة
ويناقشو معاك لفلوس,They'll discuss the money with you,غادي يناقشو المبلغ معاك.
أشن لبستي فأخير هالّووين,what did you wear last night?,شنو لباست ليلة الماضية؟
تبعني,Follow me,اتبعني
خانسرع لوسفا ديال كوپكاك,I'll speed up the cupcake menu,غادي نسرع في القائمة ديال الكب كيك
علا برّا,outside,خارج
أنا أُ ولد عمّي قدّ قدّ,My uncle and I are old,أنا وعمّي كبار فالعمر
واعداتني خاتحجز لييا شي بيت,I promised to book a room for myself,وعدتني نحجز غرفة لنفسي
كاينين بزاف لوسفات جداد,There are many new dishes,كاينين بزاف دالأطباق الجدد
دابا صافي خاسّنا غير نشوفو دياف لي غايحادرو ونسيفتو لعراضات.,Now we have to see how far they will go and get the symptoms.,و ديرو لينا كيفاش غادي يذهبوا و يلقاو العلامات.
ماكايبانش بحال شي فرملي,He doesn't look like a kid,ما كايبانش كالطفل
"هاني كانعلمك, إمّا راشيد إمّا أنا.","I'm learning you, but I'm too rich.",أنا كَنْتّْعَلّْمْك، وَلَكِنْ أَنَا غْنِي بزاف.
إدان واش خسّنا نديرو ستيدعاأت هير بل كحل أُلبيض?,So we're going to have to call it a whirl instead of an egg?,إذن خاصنا نسميه فيرات بدلا من البيضة؟
"قاهوا محتوتا تما, غادي تكون هيا هاديك","There's a coffee there, it's going to be the same",كاين قهوة تما، غادي تكون نفس الشي
كايعجبوني كيفاش لرستورات كيقادو ليك لمزاج بهاديك لموساقي لهاديا,I like how restaurants give you that kind of mood for music today,كايعجبني كيفاش المطاعم كايعطي ليك هاد النوع من المزاج للموسيقى اليوم
دابا نعيّط ليك,I'll call you,غاديتصل بيك.
كيفاش دوزتيها من لبوليس,how did you get away from the police,كيفاش هربت من الشرطة؟
هادا حسان,that's good,هادا مزيان
أنا كانعيش لهيه,I live for him,كَنْعِيش ليه
شوكران,thank you,شكراً ليك
"بنيسبا اللموسيقا, ڭادّيت واهد ليستا لي كانضنّ غاتعجبكوم","As for the music, I've always said that I think you'll like it",وبالنسبة للموسيقى، كنت دائما كايقول بلي كنضن بلي غادي يعجبك
الله إعطينا وجهك,God gave us your face,اللّه عطانا وجهي
أنا كاتيب.,I'm a writer.,أنا كاتبة.
خلعتيني,you left me,خليتني
"زعما, قبل مانوسلو ل وستراليا, مازال لينا غي شي 12 ولا 13 ل ساعا.","Well, before we head to Australia, we're only about 12 or 13 hours away.",قبل ما نتوجهو لأستراليا، غايب يبعدنا 12 أو 13 ساعة.
حيّد صبّاطو,He's wearing shoes,كايلبس الصبابط
باع أُ شرا,sell and buy,بيع وشراء
كان عاندها شعار سفار طويل مربوت,"She had a long, long haired brown hair",كان ليها شعر طويل، شعر طويل، شعر بني
ألا إمكن لينا نراجعو ل أنفوس ديالنا?,Can we just take a breath?,واش يمكن لينا ناخدو نفس؟
ماعريض لفانّي بعيد 100 ميتر علا لبار,I'm in the pool 100 meters from the bar,أنا فالبيسين 100 متر من البار
ماعمرك ماسافرتي لأروپا ?,have you ever traveled to Europe?,واش سافرت يوما ل أوروبا؟
ماقبلش ب الرشوا,I don't accept any bribes,ماكنتش كايقبلو شي رشوة.
كتر من 5 دهس,more than 5 hours,اكتر من 5 ساعات
كايعجبو يعوم فلبحر,He loves swimming in the ocean,كايحب السباحة فالمحيط
"ماعنديش معا هادش بزّاف, والاكين شوكران حيت فكرتي فيا","I don't have much of it, but I appreciate the thought",ماعنديش بزاف، ولكن أنا ممتن ليك
واش شويا تل ماسّاڭ غايعاونك?,Is there a little help from your teacher?,واش يمكن للمعلمة تديلك شوية؟
ماخاصّكش تعرفي!,You don't have to know!,مَا خاصكش تعرف!
