src,tgt
عمرك جربتي تسد شي لحم,Have you tried catch a sheep
لقينا سكر,we found diabetes
الأغاني الخايبة و الغنية لي خايبة,Terrible songs and my terrible singing
بزاف ديال الضيافة كايدير,too much guests are exhausting
نشوفك من بعد شوية,See you in a bit
كايجيب ليا كلشي مزيان,he find everything fine
أنا متأخرة,i'm late
كانذكر ملي كنا قدام واحد الكابينة,I remember when we were in front of a cabin
أنا غادي ن نخلّس ليك دار,i wil lclean you house
عاود قولي لينا,say again
مع شوية ديال الخضرا,along with some fresh vegetables
كان كيسحاب ليا غادي يحسب شحال راحة,i thought that he will count how much rest
كون غير قدرت ن حدد حياتي,if only I could balance my life
كانتسنّا فيك ت خدّبّو,I'm waiting for you to fool him
مانضنش غادي نقاضيه ف المحكمة,I dont think i will  sue him in the court
كلشي لي كانخدم فيه,everything i work in
تزوج مع ولدك,marry your cousin
العميل سول ليا على الميزات ديال هاد المنتج و فوايدو,the customer asked about the product's features and benefits
كان كيسحاب ليا غادي يديرو شي عرضات,i thought that  he will has plenty of offers
مانضنش غادي يزلق ف الثلج,I dont think  he will slide in snow
عمرك جربتي دير حوايج ديالك,Have you tried make your clothes
مانضنش غادي نستلفك فلوسك,I dont think  i wil lsend you money
كانتسنّا فيك ت شري ليا توموبيل ديالك لي كايحطّا,I'm waiting for you to buy your broken car
راه البلاصة خايبلو,the settings are messed up
غير تزوج,just marry
الرياضة كايخسر ليا الجهد و القلق,sports can help reduce stress and anxiety
واش مهمّو يعاود ليه التمرين,is it imprtant he pass training
ديزينتيكا ليدك,desinfect your hand
علاش مابغيتيش تخرج من العطلة,why don't you want to come from vacation
أنا ساكن ف المدينة,i live in the city
كيفاش لقيتي خدمتي؟,how did you find my work ?
كانتمنا يفهم,I hop he understands
عندي البرد,I'm cold
بحال لي كتشوف,as you can see
فكرة مزيانة,it is a good idea
أجي نخططو شي رحلة مفاجأة عطلة نهار لليمان لشي بلاصة ماعمرنا ماكناش قدامها,let's plan a surprise weekend trip to a place we've never been before
كنا مزيانين على بعضنا,we were good with each others
كيعجبك تجرب ريسطورات جديدة ف مدينتك؟,do you enjoy trying new restaurants in your city?
أنا موكيلك,i'am your client
واش تقدر ت مرّس ليا هاد الملحة عفاك؟,Will you pass me the salt please?
واش خاصك شي خادمة,do you need a maid
أنا جئت لحفل ديال العرس,i came to his wedding
مابغيتش نسمع صوتك,I don't want to hear your voice
مانضنش غادي ن سدّد لفلوس,I dont think  i will wire the money
عفاك بغيت هادشي بارد,please i want it cold
بلا ماتحكي,stop talking
هي خليطة,she is engaged
سمع شنو لي قيل ليك,hear whats been told
شي خدي؟,a mustache?!
البنّيس كايسّر,ice cream helps heating off
غادي تشهد من عين الناس,she will suffer from people eye
أنا واخا راني كنت نسيفط واليديا ل الحج,i well send my parents to haj
كيفاش غادي نستوي,how I'am gonna correct it
"إوا, مزيان؟","So, it's good?"
كنت قرا في المدرسة العليا,i study in hight school
كون غير قدرت ن تراهن,if only i bet
شنو لي عندك حساسية؟,what are you allergic to?
هادشي هو أحسن ريسطورة,this is the best restaurant
ولا كيبير,or beige ones
وقف الخدمة,stop the work
درت غلطة,I made a mistake
راه درها,he did manipulate her
الله إدارك,thanks hon
كان كيسحاب ليا غادي يديو على هاد اللص,i thought that  he will catch the robber
شافو زراف,they saw giraffes
أنا غادي نمشي على موتوبيل,i will go on my motobike
حيت هنا ماعنديش إشارة,Because here I don't have a signal
عندي ليك شي اقتراح,i have a suggestion for you
أنا غادي نجيب ليك داكشي لي بغيتي,I will bring you what you want
جيب ليا توموبيل,bring the car
راه طمع,he's greedy
مشيت البنكة,i went to bank
