src,tgt
واش جربتي تا غادي غادي,Have you tried catch a sheep
وجدنّا سكري,we found diabetes
ديال راهية وغنيتي الرهيبة,Terrible songs and my terrible singing
بزّاف بزّاف بزّاف بزّاف,too much guests are exhausting
نراك بزّاف,See you in a bit
وجد كل شي على ما يرام,he find everything fine
تاخرت بزّاف,i'm late
مانتذكّر تاما كنّا عند الكوخ,I remember when we were in front of a cabin
واش غادي نخليك هاد ديال,i wil lclean you house
هاد مرة أخرى,say again
مع بعض الخضرا,along with some fresh vegetables
واش خاش ليه غادي يحصي كم من الراحة,i thought that he will count how much rest
كون غير قدرت ندير حياتي,if only I could balance my life
كانتسنّا فيك تخدشه,I'm waiting for you to fool him
مانضنش غادي نقاضيه في المحكمة,I dont think i will  sue him in the court
كل شي عملت فيه,everything i work in
تزوّج ابن عمّك,marry your cousin
كان العميل يسأل عن خاصيات المنتج وفوائده,the customer asked about the product's features and benefits
كانت فكرة ليه ديه الكثير من العروض,i thought that  he will has plenty of offers
مانضنش غادي ينزلق في الثلج,I dont think  he will slide in snow
واش جربتي تكوّني بملابسك,Have you tried make your clothes
مانضنش غادي نكتبك بزاف,I dont think  i wil lsend you money
كانتسنّا فيك تا باش بسيارتك المكسورة,I'm waiting for you to buy your broken car
و الاحوال خسّرّت,the settings are messed up
واش نتزوج,just marry
يمكن لرياضة المساعدة في تقليل الضغط والقلق,sports can help reduce stress and anxiety
راه فاش ليا راه ليه تمارين,is it imprtant he pass training
مزّق يدّك,desinfect your hand
علاش مابغيتيش تخرجي من عطلة,why don't you want to come from vacation
أنا أعيش في المدينة,i live in the city
كيف وجدتي عملي؟,how did you find my work ?
غادي يهتف,I hop he understands
أنا بارد,I'm cold
واش تشوف,as you can see
هادشي فكرة جيّدة,it is a good idea
خلينا نخطط لرحلة بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,let's plan a surprise weekend trip to a place we've never been before
كنا جيدين مع بعضنا البعض,we were good with each others
واش تستمتع بتجربة مطاعم جديدة في مدينتك؟,do you enjoy trying new restaurants in your city?
هادشي موكّلتك,i'am your client
ناوليني الملح من فضلك؟,Will you pass me the salt please?
واش تحتاجي لخادمة,do you need a maid
أنا جأت لزفافه,i came to his wedding
مابغيتيش نسمع صوتك,I don't want to hear your voice
مانضنششش غادي نصرف المال,I dont think  i will wire the money
مابغيتي ليه بزّاف,please i want it cold
توقّف تجوّل,stop talking
هادشي خايير,she is engaged
سمّع ماقالو,hear whats been told
شارب؟,a mustache?!
آيس كريم يساعد على تسخين,ice cream helps heating off
غادي تعان من عين الناس,she will suffer from people eye
غادي نرسل ديالي ديال ديال هاج,i well send my parents to haj
