src,tgt
Have you tried to run something,عمرك جربتي تجرّ شي حاولي بهاد سوهولة
we found sugar,لقينا عندك سكر
i sing cricket and i sing cricket,أغاني كريتية والغنى ديالي لكريتي
they have been studying this summer,دياف قهروني هاد الصيف
we will see you soon,نشوفوك من دابا شوية
everything is fine,لقات كلشي مزن
i'm late,علت ليك رانا معطلة
i remember when i was in front of the cottage,كانعقل ملي كنا قدام الكوخ
i will clean your house,أنا قادا نجمع ليك دار
repeat what you said,عاود أش قلتي
With some new veggies,مع شوية ديال الخضرا الجديدة
i thought that he will count how much he has left,كان كيسحاب ليا غادي يحسب شحال باقي من ديري
if only I could balance my work and my time,كون غير قدرت ن وازن بين لواجبات ديالي و لوقوق ديالي
I'm waiting for you to fix it,كانتسنّا فيك ت الطبّطو
I dont think he will take her to court,مانضنش غادي يديها فالقرار ديال لمحكمة حيت خايهرب
i will do whatever comes,أي حاجة جات قدامي نخدمها
take your cousin to be patient,خود بنت عمك تسبر على همك
the client asked what the product is worth,الكليان سول علاياش كاينفع البرودوي
i thought that he will invite many people,كان كيسحاب ليا غادي يشتمل لعرض على بزّاف ديال المزيات
I dont think it will melt,مانضنش غادي يزلق تفلج
Have you tried to make your clothes like this,عمرك جربتي تتوي حوايجك بهاد الطريقة
I dont think i will send you a message,مانضنش غادي غادي نصيفت ليك تعبئا
I'm waiting for you to sell the car,كانتسنّا فيك ت بيع ديك تونوبيل لي ديما خسّرة
i dont think the software is broken,أوادي ليس پارامГتر تخربقو
he is a good man,غا خطاب ملك
sports can reduce stress and anxiety,رياضة كاتقدر تنقص ليك من ستريس و تقلق
do you need to take the right product,واش داروري إدواز المؤثر التداريب
Hold your hand,عقم إيديك
Why don't you want to come back from vacation,علاش مابغيتيش ترجع من العطلة راك رتاحيتي بزّاف
i live in the city,أنا را ساكنة فلمدينة
what did you do,كيجاك هادشي لي درت؟
I hope he understands,كانتمنّا يفهم
I'm cold,أنا فيا البرد
how you see,كيفما كتشوف
Good idea,فكرة مزيانة
Let's plan a trip to a place we've never seen before,خلينا نبلنيو شي سفر لشي بلاصة ماعمرنا ماشفناها
we were good together,كنا مزيانين مع بعضياتنا
Would you like to try a new restaurant in the city?,كيعجبك تجرب ريسطورة جديدة فلمدينة؟
i'm confused,زعمتنا رانا كليانا ديالمك
Can I have salt please?,واخا تدوز ليا الملحة عفاك؟
do you need housework,واش خاصك خدمة فالدار؟
i was at the wedding,راني كنت حضرت العرسو
i will hear your voice,وايك نسمع صوتك
I dont think i will give him money,مانضنش غادي نحاول ليه دوك الفلوس فالكونت
you are cold please,تكون باردة عفاك
he will talk to you,هايد فيك لهدرا
she is engaged,هي مخطوبة
if you miss you talk say i heard,إيلا فاتك الكلام قول سمعت
Isn't that right?,مستش؟!
glass is the cooler,لاڭلاس هي لي كاتبرد سهد
he will bring her this,غايجبليها داكشي غير العين
i will gather my parents to go to haj,قربت نجمع الواليديا باش يمشيو لحج
how do i forget,كيندر ننساه
"So, okay?",إذن، مزيان؟
I study at the University of Athens,أنا كنقرا فتنوية
if only I could go swim,كون غير قدرت نمشي نغمر
do you have allergies,عندك شي حساسية من شي حاجة؟
the best restaurant,راه ملقاب باحسن ريسطورة
or not that bunny,أو لا دوك البونيين
stop working,وقف الخدمة
i did a mistake,درت واحد الزبلة
she has a brain,كلا ليها دماغها
god help you,الله إعطيك شها أحبيبة
i thought that they will take my hand,كان كيسحاب ليا غادي يشدّو دخيا
look for some cats,شفو شي زرافات
I'll get on the motorcycle,غادي نركب الموتور
i dont have a signal,حيت هانا ماعنديش إشارة
i have a bottle for you,عندي ليكوم واحد القطيرة
i will bring you what you want,غا نجيب ليك لي بغيتي
bring the car,جيب توموبيل
he is a man,إنسان تماع معا راسو
i miss the bank,مخيت البنقة
they are planning to go out,راه كايخططو كاملين باش ماتخرج حتى معلومة
what did i do wrong,شنو الغلط لي درت معاه
this teacher is not very good,هاد ل أستاد ماكيشرحش مزيان
i will pass it to you,غادوزها ليك فأفيل
what are you doing here,أشنو كاديرو هنا
you are shopping for the album,كاتسوق على قبل الالبوم
this is just your weapon,هادشي غير المسلحتك
i miss you very much,أنا راه توحشتك بزاف
you are a fool,راك خلقة منو
I think of talking to him,تانفكّر واش ندوّر معاه
you will tell her,ها نتا غادي تقولها ليها
go first,مشي أول مرة
who can get along with her,هاديك شكون غايمكنلو يتفاهم معاها
you should never do this,حرام عليك هادشي لي كادير
when the students came,إيلا جاو تلاميذ
dont be mad with him,ڭاعما تشتني راسك معاه
he is a bit of a team player,ماديهاش فيه راه شوية هربان ليه الفريق
take a bag,هزي معاك ساك
I dare you to be fair to your children,نتحداك ت عدل بين ولادك
you should never widen your pants,عمرك ت وسّع سروالك كتر من لقياس
"Ok, okay.",واخا واخا.
i could ask the client to give us a quarter of days,نقدر نطلب من الكليان يزيدنا واحد ربعيام ديال الخدمة
how much time do you have?,شحال يكفيك ديال الوقت؟
Why don't you want to get scared,علاش مابغيتيش تتزعل ياكما خايف لا تيح
she went running,صدات سيهورها و مشات كاتجري
explain what i'am going to say,وصافي هدا لي غنڭوليك
a lady who asked me,واحد سيدة لي تواستات ليا
I'm waiting for you to make that video,كانتسنّا فيك تقاد داك لڤيديو.
why did they get him out of the trap,واكس خرجوه من الإنعاك
he started,هو اللي بدا
take my selfies,ناخد معاك سيلفي
i'm tired of milk,فاد ليا الحليب فوق البوط
you will call the police,غادي تفزڭ بسّطة
"No, finally, you're planning to move to Lagouira",لا نهائياً، نتا كاتخطط تنتقل ل لاگويرا
nothing left in poverty,حتى حاجة ماخليتوها فالفقر
be patient,مسح صبورة
i greeted your aunt,سلمت على خلتك جبيلا
do you speak arabic,واش كتهدر بالعربية
you like him a lot,كاتعجبو بزّاف
why you dont wanna tell us what you did,علاش مابغيتيش تعاود لينا شنو ترا
i dont mind video games,مانعيش حدا مختلف مخوس ماكايفكر إلا في العاب الفيديو والمانغا
i will go to diner,غانمشي نتعشى
Have you tried to spend time relaxing,عمرك جربتي تخسّ لراسك وقت ديال راحة
Have you tried to drink too,عمرك جربتي دور بيك سكايرية و شربتي تا نتا
i will bring your children,أنا غادي نجيبك ولادك
no one is getting the news,تاحد مساق الخبر
my dream is to see the cat,الحلم ديالي نشوف البطاريق
yes i sent it from pc,أوي غير سفت من بيسي
i'm going to go,إوا أهنا كانعديو
this is a big company subscription,هاداك ريسبونساب كبير ف شركة
When does the sun set?,منين كاتغروب الشمس؟
you are too late to take this picture,تعطلي بزّاف باش تسوور هاد لمندر
Oh please!,وا عفاك!
take another page,خودي صفحة أخرى
he was the customer's money,تمان كان هو هاداك الفلوس ديال لكليان
listen well,أجي تسمع مزيان
It's not working,موهال
not everyone here talks well,ماشي كولشي هنايا كايهدر مزيان
go back to the car,رجع لتوموبيل
this is what we did,دكشي لي خلانا مايتمركاش علينا تا بيت
i will just be rude with you,غادي غير تكرفسني معاك
i will cut it a bit,كانقطعها شوية غليظة
without being too much with him,بلا ما تكون معاه ساريم بزّاف
I'm from Akadar.,أنا من أكادير.
what kind of her,أشنو هو نوع ديالها
where is the toilet,فين كاينا تواليت لايخليك
Really!,بالفعل!
i will wake up,أنا غادي نفيق
Why don't you want to go by train,علاش مابغيتيش تمشي فالترين.
he was very honest with me,كان معايا صريح بزاف
look for a reason to be late,قلبي على شي سبّا باش تعطلي
i was working in the field,راني كنت خدمت فالسيف
Why don't you want to fix a goal,علاش مابغيتيش تفيكسي شي هدف و طابر باش توصل ليه
he grew up with his grandmother,كبر مع جدتو
you are taking your daughter,راك كاتقادي بنتك
i will learn to paint,باين ليا حانتعلم تصوير
leave them to cry,تخليهم كاملين يخنيو بسميتك
I'm waiting for you to climb the tree,كانتسنّا فيك تسلّق ديك شجرة وا تعطلتي شحال كاتعلّع
i will come to you tomorrow,غدا ندوز عندك
they are not available,ملك ماغبون
I think it'll be expensive to fix it,كنضن بلي غادي يكون غالي باش تصلحها
I think i will go,كانظن غادي نمشي
i like the two,عجبوني بجوج
you should never be hard on him,عمرك تشدد معاه راه غادي يندمك شي نهار
Have you tried to work but you found yourself working in social media?,عمرك جربتي تخدم ولكن لقيتي راسك فالخر كادور فسوشيال ميديا؟
I don't know how to serve it,ماعرفتش كيفاش نخدّمها
my boss was not happy,رئيس ديالي ماكانش فرحان
she is too late,لي مدة يدها لحنا تمدها كلها
stay away from me,حيد منك نميمة
I hope even sleeping will be better!,تيباللي حتى النعاس غادي يكون مزيان!
