src,tgt
Have you tried to try something easy,عمرك جربتي تجرّ شي حاولي بهاد سوهولة
you have sugar,لقينا عندك سكر
sing songs and sing songs,أغاني كريتية والغنى ديالي لكريتي
I'm too late for this summer,دياف قهروني هاد الصيف
I'll see you from now on,نشوفوك من دابا شوية
everything is depressing,لقات كلشي مزن
i thought you were off the clock,علت ليك رانا معطلة
i thought we were in the cabin,كانعقل ملي كنا قدام الكوخ
I'm gonna get you a house,أنا قادا نجمع ليك دار
i said again,عاود أش قلتي
with a little new green,مع شوية ديال الخضرا الجديدة
i think i'll take the rest of my hair,كان كيسحاب ليا غادي يحسب شحال باقي من ديري
if only I could balance my homework with my time,كون غير قدرت ن وازن بين لواجبات ديالي و لوقوق ديالي
I'm waiting for you to do medicine,كانتسنّا فيك ت الطبّطو
I don't think she's gonna let her go,مانضنش غادي يديها فالقرار ديال لمحكمة حيت خايهرب
what do I need to do,أي حاجة جات قدامي نخدمها
take your cousin for your care,خود بنت عمك تسبر على همك
it's not good for the brodo,الكليان سول علاياش كاينفع البرودوي
i thought it would be an offer for a lot of good,كان كيسحاب ليا غادي يشتمل لعرض على بزّاف ديال المزيات
i don't think i'm gonna slip,مانضنش غادي يزلق تفلج
Have you ever tried to find you this way,عمرك جربتي تتوي حوايجك بهاد الطريقة
i don't think I will fix you up,مانضنش غادي غادي نصيفت ليك تعبئا
i'm waiting for you to sell your toothpick to me,كانتسنّا فيك ت بيع ديك تونوبيل لي ديما خسّرة
I'm not mad at you guys,أوادي ليس پارامГتر تخربقو
a king's speech,غا خطاب ملك
a sport that you can't afford to worry about,رياضة كاتقدر تنقص ليك من ستريس و تقلق
what do you think?,واش داروري إدواز المؤثر التداريب
your hands are empty,عقم إيديك
why don't you want to come back from vacation,علاش مابغيتيش ترجع من العطلة راك رتاحيتي بزّاف
i'm in town,أنا را ساكنة فلمدينة
what happened to me?,كيجاك هادشي لي درت؟
we could understand,كانتمنّا يفهم
i'm in the cold,أنا فيا البرد
how do you know,كيفما كتشوف
It's a good idea,فكرة مزيانة
Let's take a trip to something we didn't know,خلينا نبلنيو شي سفر لشي بلاصة ماعمرنا ماشفناها
We were good with each other,كنا مزيانين مع بعضياتنا
so you like to try a new development in the city?,كيعجبك تجرب ريسطورة جديدة فلمدينة؟
I claimed we were all yours,زعمتنا رانا كليانا ديالمك
do you feel sorry for me?,واخا تدوز ليا الملحة عفاك؟
what do you do at home?,واش خاصك خدمة فالدار؟
i'm sorry,راني كنت حضرت العرسو
we hear your voice,وايك نسمع صوتك
I don't think i will try to make money,مانضنش غادي نحاول ليه دوك الفلوس فالكونت
it's too cold for you,تكون باردة عفاك
i'm going to waste you,هايد فيك لهدرا
she's engaged,هي مخطوبة
"if you don't talk, you will say",إيلا فاتك الكلام قول سمعت
what do you think?,مستش؟!
it's not for me,لاڭلاس هي لي كاتبرد سهد
he will bring her to the eye,غايجبليها داكشي غير العين
i'm close to getting my parents to go,قربت نجمع الواليديا باش يمشيو لحج
I'll never forget it,كيندر ننساه
"So, uh, good?",إذن، مزيان؟
I'm an genius,أنا كنقرا فتنوية
if only I could go in the dark,كون غير قدرت نمشي نغمر
do you have any allergies?,عندك شي حساسية من شي حاجة؟
he is the best person in the world,راه ملقاب باحسن ريسطورة
Or not the browns,أو لا دوك البونيين
Suspension,وقف الخدمة
i turned one of the dumps,درت واحد الزبلة
"no, she has her brains",كلا ليها دماغها
God give you a lover,الله إعطيك شها أحبيبة
i thought i'd be angry,كان كيسحاب ليا غادي يشدّو دخيا
they're looking for giraffe,شفو شي زرافات
let's ride the boss,غادي نركب الموتور
I'm alive. I don't have a signal.,حيت هانا ماعنديش إشارة
i have one to eat,عندي ليكوم واحد القطيرة
I will answer to you,غا نجيب ليك لي بغيتي
go to bed,جيب توموبيل
a man who listens to each other,إنسان تماع معا راسو
i'm sick of bunny,مخيت البنقة
they're planning to go to work until the information is available,راه كايخططو كاملين باش ماتخرج حتى معلومة
what's wrong with me,شنو الغلط لي درت معاه
I dont want to explain what's good,هاد ل أستاد ماكيشرحش مزيان
he went to you,غادوزها ليك فأفيل
they are here,أشنو كاديرو هنا
I'm shopping before the album,كاتسوق على قبل الالبوم
That's why I didn't shoot you,هادشي غير المسلحتك
i'm afraid of you,أنا راه توحشتك بزاف
he created him,راك خلقة منو
I'm thinking about going with him,تانفكّر واش ندوّر معاه
you're gonna tell her,ها نتا غادي تقولها ليها
he walked the first time,مشي أول مرة
i think he can work with her,هاديك شكون غايمكنلو يتفاهم معاها
dont talk to me,حرام عليك هادشي لي كادير
he went to school,إيلا جاو تلاميذ
why do you want your head with him,ڭاعما تشتني راسك معاه
he didn't think he'd get away from the team,ماديهاش فيه راه شوية هربان ليه الفريق
shake with you,هزي معاك ساك
I dare you to make amends between your children,نتحداك ت عدل بين ولادك
