tgt,src
واش عرفتي ديك المجموعة صاحبة للي لقيت,what do you know about this group
أنا محتار,i'm confused
خويا يالله علمتو لعبة جديدة,God forbid you learned a new game
ديري لي قالك راسك,do what you say
نتا زقرام,you're a bitch
كون غير قدرت ن جرّب ماكلة جديدة,if only I could try new food
دب شكون ليمخلي فو,I'm complaining
بلاطي نكلب دار ورد اليك,my father is eating his house
أنا دابا مزيان، أشنو عندك؟,"I'm a good dad, what do you have?"
كيغاندير باش نوصل تمّا,I'm gonna take a ride
شدي رزقك,make a living
بديتي كاتعطيني فالقاصح,you started to give me a piece of shit
أنا كنتفهم أننا دغرك دارك، سمحات,I understand we're dragging you home
عمرك جربتي ستسكن في هاد الحي,Have you tried to live in this neighborhood
بغيت نسور,I want flowers
سيرو غسلو يديكوم,go wash your hands
خليني نتبع رأي ديالو,Let me follow my opinion
رد بالك لا تيه,don't worry about it
طولت ساعة,it's been an hour
يالله لقيتينا داوين عليك,Good luck to you
"أيه, هو هاداك!","Yes, this is it!"
فوقت الفراغ ديالها كاتقرا كتوب ديال الطبخ,she went to the kitchen and read the books
كايجري ف الجرضة,he's running in the paper
خاصك تبقى,you need to stay
غانمشي ل أوروبا العام الجاي,i will go to Europe next year
كانتسنّا فيك ت نتج هاد نوع ديال ديسّير,I'm waiting for you to do this kind of job
راني كنت رجعتو لمولاه,i went back to his office
كاين,there is
على برّا,on land
دار ليا مفاجأة,it's been a surprise
فرحهم راهوم يستاهلو,they are happy
ماتسوا ماتسلاه,you don't want to entertain him
فكرة مزيانا!,good idea!
شدني القبت,i thought
أنا مسمحك,I'm sorry
واش فيك الحساسية ديال شي حاجة؟,Are you allergic to something?
يا سلام,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey! hey, hey, hey, hey, hey, hey!"
بقيت كانقلب على واحد القفل,i stayed on the lock
سيفت ليا نمرة ديالك,you will tell me your number
خدمتنا ماضعتش لينا,she didn't want us
راهما هتا أنا بانتو هاكا,this is me
دغيا! بزّربا!,look!
الدراري ماكلتهوم تجارة و كسوتهوم خسارة,they don't eat business and dress them up
صافي غير نعس على جنب راحة,i will not sleep on the side of rest
نتا هي كاتغير حيت أنا حسن منّك.,she's changed my life I'm better than you
وا شحال زوينة هاد البنيوتة ولكن راها عفيريتة,how much is this place
ماتفوتش لهدود,you don't miss this
نقسو صوت,the sound is hard
ماقدرش نشوف,I can't see
ماشفو تاهد فالخدمة,he is not good at work
خليني نعطيه شنو بغا,Let me give him what he wants
خليني نعلمهوم فين أنا,let me know where I am
تعطلي بزّاف باش تقيدو ف روض,you are too late
خليني نبحث على هاد القضية,Let me look for this case
لي بان ليك,i'm waiting for you
جرح راسو ملي كان كيحسّن,he hurt me
راه قوي هاد الحيت ماتيحش,this life is strong
شنو كاين عندك في الماكلة؟,what do you have in the food?
يالله نسيدو الهوت,let's forget the cheese
ناد يحل الباب,I'll take the door
أول مرة غادي نسافر,The first time i will travel
يقدر تلعطي لو ف راسو,you can give it to him
راه كلاسيكي هادشي لي كاتقرا,that's a classic
راه مانتيقي تمشي تقدا دابا ملي دنيا خاوية,you don't want to go a long way
هوما غير سحاب,It's not a cloud
واحد الملف ديل,one file
رد البال,pay attention
ماعمرو يتفرق على البنات,they don't part with girls
نتحداك ت شافا بهاد لمرض,I dare you to heal this disease
ماتهزّي لهم لوالو,don't make them laugh
هادا ساهل,this is easy
غادي درني المعدة,i will change my stomach
فاش تكوني مسالية,you should be entertained
آرا 'ناخرب,i'm a sacrilege
غانبدا من دابا,i will start from daba
سيرو تبعوه فينمشا,they will follow him
هادشي دار شهال هادا,this is the house of this woman
كون غير قدرت ن حفّزك,if only i could motivate you
ماتبقاش تعاود لهدرا,you don't want to come back
خليني نخرج هاد المسألة.,Let me get this thing out.
غادي نفترض أنهو يالاه تحت عليا الفكرة,I'm assuming they're under the idea
خاصني نمشي نشري لعسل,i need to go buy honey
ماتبقايش قدام الباب,Don't stay in front of the door
مكاين تا واحد هنا,where is the one here
خرجتو نتوما,you went out
مابانتش ليا الفلوس,i didn't see money
أنا مشتون بزاف بسباب ختفاء النحل,I'm too late to hide bees
وا شحال خايبة هاد الحسنة,this good is bad
ماعرت شكون شدو,i didn't complain
درتي سبّا بلورد,you did a good job
هاد شي عادي,this is normal
أنا كانتعلم الطاليانية,i'm learning turkey
تا حاجة من هادشي مانفعات,what do you want to do
شي حاجة زوينة؟,What's a good thing?
تسناني عفاك تنسالي و نجي نقاد معاك هادوك لوراقي,I will forgive you for forgetting me and saving my friends
كنتفق معاك شي موضوعات ماكايتعاملوش معاها بطريقة كافية,i agree with you on matters that are not dealt with enough
بغيت الفرحة ترجع لهاد الدار,I want joy to return to this house
غادي تعلم شحال من حاجة,You will learn something
جمعتها في الليل,i collected it at night
كيفاش ناخد قرضي,how do I take my loan
جا يكحلها عماها,he hasn't done it yet
مالكي مسدعاني,why don't you call me
واش نتا موجود؟,Are you there?
قرّا,read
فتر على خطرك,wait a minute
راه وافي هاد الكلب,he is in this dog
خدمة غير بالوفي,a job only
بنادم عبيط.,I'm sorry I'm late.
مابغيتش نتبارزط,I don't want to fight
خبيت ليك اللهم ف الخبز,i told you in bread
شنو درتي؟,What did you do?
ماغاديش تفهمني,i will not understand
كنسمع بنادم برا,I'm listening to sorry
من بعد مدة سالمو دار وسلحوها شوية,after a while he went home and took her away
را همشية هاد نقطة,this is the point
الصراحة راحة,Honesty is a relief
بقيت كانقلب عليه مالقتوش,i kept turning at him
هتى نمشي لقسم.,I'm going to the station.
تقام عليّة غالي,it's expensive
ماكانعرفش نصوغ,i don't know what to say
هدرتي بزّاف,you are too late
هنا كانعاونوك نتي باش ترتاهي,this is where they help you
هاد الخدمة تعكسات,this job is a reflection
بقا فيا الحال من جهتك,stay right away from your side
والدي كبر دغيا,My dad grew up
وجهو كان مازال صفر,their face was still zero
أنا ماشي من هاد النوع ديال الناس,i don't like this kind of person
تانفكّر واش نقدر نكسّيري ف هاد لبلاصة,I'm thinking if we could break this bus
كون غير قدرت ن تلّع فلمشاهدات ديال فيديواتي,if only I could listen to my videos
إيلا الحيوان ديالك قدر يهدر شنو كادن آيڭول عليك؟,what do you think he will do to you?
واش كايجيبلك راسك زوينا,your head is good
متشرفين,you're honored
كان كيسحاب ليا غادي يبقى يسب للكامل,i thought he will stay for the whole thing
هود مساري و تلع شاري,i'm gonna go to school
من نهار لي سينيت على واحد لكونطرات ماقريتهاش و أنا فلمحاكم,"from day to day, I will sit on one of my seats"
باش ماكان جاوبني,why didn't you answer me
كان كيسحاب ليا غادي يشرف و يولي يتمشى بعكاز,i thought that he will be honored and he will go on a cane
