Original Moroccan Arabic,Translated English
يتواهشك الخير أنا مازال مسافرة,I wish you well. I am still on the way.
شحال ديال لوقت غادي يبقى هنا؟,How long will he be here?
قريت واحد لكتاب البارح,I read a book yesterday.
ولاكن هو راه واقف بعدا لإنذار الحريق,But he is standing right next to the fire alarm.
كون غير قدرت ن كالمي داك لكلب,I was just able to get that dog water.
هايد منك العنصرية,Stop being racist
كل أكس كيقول,All x is saying
واش شفتي شحال هوما دريفين,Have you seen how many drivers there are?
تانفكّر واش نحدّد صرعة,I'm thinking of making a reservation.
المدينة عمرات خسّنا نمشيو لشي عروبية,"The city is full of people, so let's go to some car."
ولافلوس موجودة,And the money is there.
أشمن طيجة هاد الترام؟,What floor is this tram on?
أنعاود ليك واحد القصة,I'll tell you one more story.
"وايه, ل أمور ماشي على ما يرام هاد الساعة...","Well, things are not going well at the moment..."
ختي دهب عندهوم غزال,My aunt has a gold ring.
قبل معاك الدراري,Please accept the invitation.
عندي خويا و جوج خواتات,I have a brother and two sisters.
عيط عليه لقيتو باقي ناعس,Call him. I found him sleeping.
تفارقتي أخيرا معا صاحبك?,Have you recently broken up with your boyfriend?
أنا بعث ولدي على قبل الفلوس,I sent my son ahead with the money.
نتوما سكتو ليهم بزاف,I regret that I have been so hard on them.
نونبر,Number of days
مابغيتيش تأهل النهائي,I don't want to qualify for the final.
هي لي كنت جات عندنا ياك,"She was coming to us, wasn't she?"
راه واصع هاد البارك كاين فين تلعب,It's right next to this park where you play.
تعطلي بزّاف باش أجّل لخرجة ديالك,It took me too long to postpone your departure.
غسلي المعانيش,Wash your hands
كيداير مع الخدمة؟,How does it work with the service?
أش فيها إلا خرجتي معاها,I'll be damned if I'm going out with her.
واش كاين عندك شي سلد اليوم؟,Do you have any ice cream today?
غادي نهولك لبورو لي قدامي,I will take you to the office in front of me.
اليوم بخ ولدت.,A baby girl was born today.
نهر نجي لتماك نتفهمو,A river comes to the point where we understand it
ماكاين حتى فرق بيناتهم,There is no difference between them.
راه مارقيت عليه ع,It is marked with a
تأثر نفسيان,Psychologically affected
كايتسناك غير تنتق,I only eat snacks.
غاندير شي كاريتا فراسي,French card game
واش هاد الطوبيس كايمشي للبحر,Does this bus go to the sea?
مابقيتش باغي ن سيفتل إك لفلوسّ معا لخدام ديالك حيت شفار إن,I don't want to pay you any more for your work because I'm sick.
غانمشي نجيب شي قفل نسد عليه,I'm going to get a lock to lock it.
ولا بولو؟,Or a polo?
آه، العموم ممنوع هنا,"Yes, food is prohibited here"
هي تكبر ونشره ليك,It grows and spreads for you.
شتك واحدة راهتك,You have one left.
غانسابقك نتا لأول,I'll meet you first.
ناري راجلي مسكين دايع كاندير غير سدا واحدة,My poor man only has one candle.
أش لوصفا,See also
عمرك تاخد شي خلاص إضافي على خدمتك,You may receive an extra salary for your service.
واش كدان بليا كانو كايضحكو عليك؟,How many people have you made fun of?
شمتني وغفلني,He kissed me and left me
هدرت مع شبابتي ف الخدمة,I talked to my girlfriend at work.
ياله نخرجو منهنا!,Let's get out of here!
عيتي على بنتك,Call your daughter.
والله مس همد,God is merciful
سمحليا، فهمت غلط,"Sorry, I misunderstood"
ماتشوفنا حتال الليلة لعرس,We won't see each other until tonight for the wedding.
مانضنش غادي يتسلق ديك الشجرة,I don't think he'll climb that tree.
اشنو جبتي لهوم؟,What do I have for them?
هادي أنا بنتك أبا,"This is your daughter, Father."
هاد الولد مسكين شنو دنبو,This poor boy is very sick.
كايبان ليا بلي آخر مرة كان من المفترض المحاضر يدوي فيها على مصر القديمة,It seems to me that the last time the lecture was supposed to be on ancient Egypt
واش كليتي شي وحدة من هاد الشمبينيون؟,Have you eaten any of this champagne?
أنسافر على قبل الخدمة,I leave before the service
كون غير قدرت ن برّر شنو درت,If only I could explain what I did.
كون غير قدرت تكون عندي فرمة,If only I could have a firm
واش نتا حماقيتي ولا مالك,Is it my stupidity or yours?
إكون خير,Be good
ماندينش غادي نتّبتو خليه يدير لي بقا,I don't think I'll be able to keep it running.
قليل فين كانستعمل لمنقلة,A little bit where I used to go for a ride
واحد الجرانة خرجات من الماء,One of the grenades came out of the water.
القراعي ديال الزيت تتخسر ليهم سدادة,Oil cylinders are losing their sealant
كانت كنقلب على فيلا لكرا فيها لا بيسين,I was looking for a villa for rent with a swimming pool.
شكون ربح,Who won?
أنا غادي نتعنب عليها,I'll look into it.
عاون راسك,Help yourself.
عطي الوقت لراسك واحد شوية,Give yourself time to think.
سميتو زوينة بزاف,It is very beautiful.
جيدي ماكيدويش بزّاف,Jodie doesn't eat very much.
الخدمة صعيبة والله.,The service is very difficult.
و لي كيشريو و سحاب جملة,And I'm going to take a nap and take a nap.
سميت باك,My name is Buck.
عمرك تخرج شي لطاب فهاد الوقيتة,You must be getting something good this time.
عاود ليا على الواليدة ديالك,Tell me about your mother.
كليت دانون بيريمر,Danon Perrimer was born
كاتمنى تكونو بيخير,She hopes you are better.
بغيت نطلق,I want to get a divorce.
ناري هادشي كايخلع,I see this is coming off.
دار التمارين ديالو,His gym
الماكلة مابنيناش,The food is not good.
البيت كبير,The house is big.
بون سوار مراتي,My wife's bracelet is good.
شحال خس تلفلوس باش تصيب سيارة؟,How much do you need to pay for a car?
وليت كانسمح ف كولشي,I was allowed to do everything.
بعد من الماكلة ديال زنقة,After a meal of garlic
ماڭلتي عيب.,My shirt is not good.
هيد هاد مايقدر يعديه,This is what he can do.
مانقدرش نشري شهيوات ديال رمضان من برا,I cannot buy Ramadan delicacies from abroad
راه كايبني فواحد الڤيلا,He is building a villa.
كانهدر على راسي,I'm talking out of my head.
مامشا معاك باص,I'm going by bus.
"واخا, هاني أنخرج معا لكلب!","Okay, I'm going to take the dog out!"
هتيتها ف هاد الزنقة,I found it in this alley.
تانفكّر واش نخلّص دابا.,I think I'll save it now.
كانتفرج فالماتش,I'm watching the match.
ولا فيها في شهرين,or in two months
كون غير قدرت ن جاوب على هاد الميساج,I wish I could have answered this message.
علاش مافكرتيش فهادشي من قبل؟,Why didn't you think of that before?
كانهترم راي ديالك.,I respect your opinion.
إوا بقينا هنا,So we stayed here.
ملي ماكاتڭولش لا هيا آه,"If you don't say no, then yes."
خليني ندحك,Let me give you a hug.
أشنو لي بدل فلماتك و خليكوم طربحو,Give me your films and let me win
مدغ ماكلتك مزيان,Enjoy your meal.
أنا طالع فالدروج,I'm going upstairs.
هادي فكرة مزيانة,That's a good idea.
خاصك تكون على بال,You must be careful
أنا مازال كنفكر فداخشي لي وقع,I'm still thinking about what happened to me.
ملي جا ونتي حتى عليه العين,He has a twenty-year-old daughter.
كون غير قدرت نخرج لكلب ديالي,I just wanted to go out with my dog.
و ماعمرك شي نهار ماتحتي على راسك و توقيتيفيه,And you don't have a day to go under your head and make it happen.
مايحك دهري غير دفري,What you see is what you get
سير زوق بيتك,Walk around your house
علاياش كنتو كادوي,Why were they so generous?
علاش غير شرح ليا علاش,Why don't you explain to me why?
تانلحڭ عليك لدار,I'll take you home.
واش داروري إدواز المؤثر التداريب,Is the curtain effect a curtain effect?
عمرك جربتي تقادي شي واحد حيت خرتي منو,Have you ever tried to pick one up because you bought it from him?
راه جاهل هاد الكلب,This dog is ignorant.
على حساب البعد,On the house
نسّيت بنتي فسته,I forgot my daughter's dress.
ايلا ماكنتيش قالق فالمكتب ديالي,Otherwise you wouldn't be in my office.
عمر عطا كتاب ل محمد,Omar gave a book to Muhammad
غزدي تلقاي ليس بوڭوئات جداد,My receipt is not in good condition.
هادشي كايدرني أنا,That's what I think.
بغات تدي ليك ولدك من الفوق,I want to give you your son from above
نهار جمعة كيعطيونا تلاتة ديال السوايع فالغدا,On Friday we have three hours in the morning.
الموت ديال الصحد,Death of a loved one
واش عرفتي إمتا دخلنا الغابة؟,Do you know when we entered the forest?
سير عند ختك.,Walk to your sister.
كاينة خلعة,There is a discount.
براكة من لهدرة خاوية,A pool of empty waste
كان لابس تقشرو مقلوبين,He was wearing his peels upside down.
كيف كانت التجربة؟,How was the experience?
واش كتيق داكشي؟,Are you sure about that?
مهم بزاف,Very important
واش بغيتي تعدر على عدشي؟,Would you like to try my glasses on?
غبارتو علينا,They've been stealing from us.
هادوك ديالك نتا,These are yours.
واش غادي تعرض على بزّاف ديال الناسّ?,Will you be hosting a lot of people?
شكون نتيا؟,Who is it?
إنا أناني كيعجبك تسمع ليهم و نتا كتيب ?,Do you like to listen to them and your brochures?
خدمتي,My service
صافي فواحد لوقت خيبت ليهم و واليديا تخلعو,I was disappointed for a while and my parents were disappointed.
مول تاكسي كايتسنا,The taxi is from Kaitsen.
مادربش لحساب,Do not check the account
مم، لا ماشي گاع هكاك، ولكين كايبان بحال آلا حادياني,"No, it's not like that, but it looks like an accident."
ركبية دروني,My knee
حنا غانتحملو هاد المسؤولية,We will take that responsibility.
علاش ماڭلتيهاش ليا قبل?,Why did you order it earlier?
ولكن إيلا وحلت، البنات للي عنا ديما غايعاونوني,"But if I do, the girls around here will always help me."
خسرنا عقد مهم ومافهمناش علاش,We lost an important contract and we don't understand why
خسّني كالكولاتريس,I feel like a coelacanth
راه حد هاد القطيب,It's near this pole.
كانتسنّا فيك ت وسّع ديك طروسا لي شريتي حيت كاتبان صغيرة,I was hoping you would let me buy that dress because it looks small.
واش ممكن نسولك؟,Can I ask you a question?
