tgt,src
يتواهشك الخير أنا مازال مسافرة,That means a lot I'm still traveling.
شحال ديال لوقت غادي يبقى هنا؟,How long will he stay here?
قريت واحد لكتاب البارح,I did read a book yesterday.
ولاكن هو راه واقف بعدا لإنذار الحريق,But he already turned off the fire alarm.
كون غير قدرت ن كالمي داك لكلب,How do I calm my dog down?
هايد منك العنصرية,How can I stop being racist?
كل أكس كيقول,Everyone says something different.
واش شفتي شحال هوما دريفين,Did you see how nice they are?
تانفكّر واش نحدّد صرعة,I'm thinking if fix the speed.
المدينة عمرات خسّنا نمشيو لشي عروبية,The city is full
ولافلوس موجودة,No money
أشمن طيجة هاد الترام؟,Which direction is the tram going in?
أنعاود ليك واحد القصة,i will tell you a story.
"وايه, ل أمور ماشي على ما يرام هاد الساعة...",It's not too good right now...
ختي دهب عندهوم غزال,They have good gold.
قبل معاك الدراري,What is the best way to take care of children?
عندي خويا و جوج خواتات,I have one brother and two sisters.
عيط عليه لقيتو باقي ناعس,I called him and found him asleep.
تفارقتي أخيرا معا صاحبك?,How did you break up with your boyfriend?
أنا بعث ولدي على قبل الفلوس,I sold my son for money.
نتوما سكتو ليهم بزاف,You didn't talk back at them for too long.
نونبر,November
مابغيتيش تأهل النهائي,You don't want to qualify for the finals. Why?
هي لي كنت جات عندنا ياك,She is the one that came.
راه واصع هاد البارك كاين فين تلعب,This Parc is spacious.
تعطلي بزّاف باش أجّل لخرجة ديالك,Is it too late to postponements?
غسلي المعانيش,Clean utensils.
كيداير مع الخدمة؟,How is work going?
أش فيها إلا خرجتي معاها,Why don't you want to go with her?
واش كاين عندك شي سلد اليوم؟,Do you have any discount or promotions available today?
غادي نهولك لبورو لي قدامي,How can I change my desktop?
اليوم بخ ولدت.,Today I gave birth
نهر نجي لتماك نتفهمو,"Once I come, lets settle it."
ماكاين حتى فرق بيناتهم,There is no difference between them.
راه مارقيت عليه ع,i scored 3 against him
تأثر نفسيان,He was emotionally affected.
كايتسناك غير تنتق,I'm waiting for you.
غاندير شي كاريتا فراسي,I will harm myself. What should I do?
واش هاد الطوبيس كايمشي للبحر,Does this bus go to the beach?
مابقيتش باغي ن سيفتل إك لفلوسّ معا لخدام ديالك حيت شفار إن,I will not send you money through him.
غانمشي نجيب شي قفل نسد عليه,I will bring a lock to put on it.
ولا بولو؟,What is a lolly?
آه، العموم ممنوع هنا,Why is it illegal to swim here?
هي تكبر ونشره ليك,You will grow up and I will explain.
شتك واحدة راهتك,I see you comfortable.
غانسابقك نتا لأول,I will outrace you.
ناري راجلي مسكين دايع كاندير غير سدا واحدة,My poor husband is lost. I do only one closing.
أش لوصفا,What is this meal?
عمرك تاخد شي خلاص إضافي على خدمتك,You should never take another job.
واش كدان بليا كانو كايضحكو عليك؟,Have you ever made fun of someone?
شمتني وغفلني,He did not fool me.
هدرت مع شبابتي ف الخدمة,I talked to my work friend.
ياله نخرجو منهنا!,How do I get out of here?
عيتي على بنتك,Call your girl?
والله مس همد,"But thank God, nevertheless."
سمحليا، فهمت غلط,"I'm sorry, I misunderstood."
ماتشوفنا حتال الليلة لعرس,We haven't seen each other until weeding at night.
مانضنش غادي يتسلق ديك الشجرة,I dont think he will climb that tree.
اشنو جبتي لهوم؟,What did you bring for them?
هادي أنا بنتك أبا,I'm your girl dad.
هاد الولد مسكين شنو دنبو,This boy is innocent.
كايبان ليا بلي آخر مرة كان من المفترض المحاضر يدوي فيها على مصر القديمة,It seems to me that the last time a lecturer was supposed to be speaking of ancient Egypt
واش كليتي شي وحدة من هاد الشمبينيون؟,Did you ever eat a mushroom?
أنسافر على قبل الخدمة,I will travel.
كون غير قدرت ن برّر شنو درت,"If only I had an excuse, what would I do?"
كون غير قدرت تكون عندي فرمة,"If I had a farm, what would it be like?"
واش نتا حماقيتي ولا مالك,Are you insane?
إكون خير,It will be fine.
ماندينش غادي نتّبتو خليه يدير لي بقا,I dont think I will leave him alone.
قليل فين كانستعمل لمنقلة,I rarely use a protractor.
واحد الجرانة خرجات من الماء,A frog came out of the water.
القراعي ديال الزيت تتخسر ليهم سدادة,The bottles of oil get their seals ruined.
كانت كنقلب على فيلا لكرا فيها لا بيسين,I was looking for a villa with a pool for rent.
شكون ربح,Who won the 2016 Presidential Election?
أنا غادي نتعنب عليها,I will hit on her. What should I do?
عاون راسك,How can I help myself?
عطي الوقت لراسك واحد شوية,Give yourself some time.
سميتو زوينة بزاف,He has a nice name.
جيدي ماكيدويش بزّاف,My grandpa doesn't talk much. What should I do?
الخدمة صعيبة والله.,Work is hard here.
و لي كيشريو و سحاب جملة,Who buy goods?
سميت باك,What is your father's name?
عمرك تخرج شي لطاب فهاد الوقيتة,Why should I never bring a book?
عاود ليا على الواليدة ديالك,Tell me about your mother?
كليت دانون بيريمر,What happens if you eat spoiled yogurt?
كاتمنى تكونو بيخير,I hope you are okay.
بغيت نطلق,I want to get divorced. How can I do it?
ناري هادشي كايخلع,"Oh my God, that's horrible."
دار التمارين ديالو,He did his homework.
الماكلة مابنيناش,The food is not delicious.
البيت كبير,The room is big.
بون سوار مراتي,Good evening wife.
شحال خس تلفلوس باش تصيب سيارة؟,How much does it cost to fix a car?
وليت كانسمح ف كولشي,I forsake eveyrthing.
بعد من الماكلة ديال زنقة,Do you eat junk food? Why or why not?
ماڭلتي عيب.,All right.
هيد هاد مايقدر يعديه,No one can harm him.
مانقدرش نشري شهيوات ديال رمضان من برا,"In Ramadan, I don't buy dishes outside."
راه كايبني فواحد الڤيلا,He is building a villa.
كانهدر على راسي,I am talking about me. What should I do?
مامشا معاك باص,My condelences
"واخا, هاني أنخرج معا لكلب!",I'm going to head out with my dog!
هتيتها ف هاد الزنقة,I put it in this street.
تانفكّر واش نخلّص دابا.,I think of paying right now.
كانتفرج فالماتش,I'm watching the game.
ولا فيها في شهرين,He can become like this in two months.
كون غير قدرت ن جاوب على هاد الميساج,If only I respond to the message
علاش مافكرتيش فهادشي من قبل؟,Why didn't you think of this before?
كانهترم راي ديالك.,I respect your opinion.
إوا بقينا هنا,We stayed here.
ملي ماكاتڭولش لا هيا آه,She would not say yes.
خليني ندحك,Let me laugh.
أشنو لي بدل فلماتك و خليكوم طربحو,What were the turning points in today's game that led to your team's win?
مدغ ماكلتك مزيان,Chew your food well.
أنا طالع فالدروج,I'm going on stairs. What should I do?
هادي فكرة مزيانة,That's a good idea.
خاصك تكون على بال,You need to be attentive.
أنا مازال كنفكر فداخشي لي وقع,I still think about this.
ملي جا ونتي حتى عليه العين,You are too focused on him.
كون غير قدرت نخرج لكلب ديالي,"If I took my dog outside for a walk, would it hurt him?"
و ماعمرك شي نهار ماتحتي على راسك و توقيتيفيه,Have you ever fallen on your head?
مايحك دهري غير دفري,I only touch myself.
سير زوق بيتك,How do I decorate my room?
