darija_ar,translated_eng
كيفاش كاتحسّ,how are you feeling
أنا غير ساخيفا,I'm not a fan
شحال رادي تابقا هنا?,How long have you been here?
"عمّرها, لايخلّيك.","She's old, she's not leaving you."
حتال غدّا,tomorrow
تولدات نهار لعيد أُ تافقنا نساميوها فتنا كيف ف ياوميا,It's Christmas day and we've had our cake as a family
ويناقشو معاك لفلوس,They'll discuss the money with you
أشن لبستي فأخير هالّووين,what did you wear last night?
تبعني,Follow me
خانسرع لوسفا ديال كوپكاك,I'll speed up the cupcake menu
علا برّا,outside
أنا أُ ولد عمّي قدّ قدّ,My uncle and I are old
واعداتني خاتحجز لييا شي بيت,I promised to book a room for myself
كاينين بزاف لوسفات جداد,There are many new dishes
دابا صافي خاسّنا غير نشوفو دياف لي غايحادرو ونسيفتو لعراضات.,Now we have to see how far they will go and get the symptoms.
ماكايبانش بحال شي فرملي,He doesn't look like a kid
"هاني كانعلمك, إمّا راشيد إمّا أنا.","I'm learning you, but I'm too rich."
إدان واش خسّنا نديرو ستيدعاأت هير بل كحل أُلبيض?,So we're going to have to call it a whirl instead of an egg?
"قاهوا محتوتا تما, غادي تكون هيا هاديك","There's a coffee there, it's going to be the same"
كايعجبوني كيفاش لرستورات كيقادو ليك لمزاج بهاديك لموساقي لهاديا,I like how restaurants give you that kind of mood for music today
دابا نعيّط ليك,I'll call you
كيفاش دوزتيها من لبوليس,how did you get away from the police
هادا حسان,that's good
أنا كانعيش لهيه,I live for him
شوكران,thank you
"بنيسبا اللموسيقا, ڭادّيت واهد ليستا لي كانضنّ غاتعجبكوم","As for the music, I've always said that I think you'll like it"
الله إعطينا وجهك,God gave us your face
أنا كاتيب.,I'm a writer.
خلعتيني,you left me
"زعما, قبل مانوسلو ل وستراليا, مازال لينا غي شي 12 ولا 13 ل ساعا.","Well, before we head to Australia, we're only about 12 or 13 hours away."
حيّد صبّاطو,He's wearing shoes
باع أُ شرا,sell and buy
كان عاندها شعار سفار طويل مربوت,"She had a long, long haired brown hair"
ألا إمكن لينا نراجعو ل أنفوس ديالنا?,Can we just take a breath?
ماعريض لفانّي بعيد 100 ميتر علا لبار,I'm in the pool 100 meters from the bar
ماعمرك ماسافرتي لأروپا ?,have you ever traveled to Europe?
ماقبلش ب الرشوا,I don't accept any bribes
كتر من 5 دهس,more than 5 hours
كايعجبو يعوم فلبحر,He loves swimming in the ocean
"ماعنديش معا هادش بزّاف, والاكين شوكران حيت فكرتي فيا","I don't have much of it, but I appreciate the thought"
واش شويا تل ماسّاڭ غايعاونك?,Is there a little help from your teacher?
ماخاصّكش تعرفي!,You don't have to know!
لپيانو شي حاجا كبيرا,the piano is a big thing
مبارك و مسعود,Good luck
ماكاين حتّا حاجا كاتعجبني كتر من الطابخ لمغريبي,There's nothing I like more than the Moroccan cuisine
ريوايا بوليسييا?,The police report?
فين كاتغرب شامس?,Where are you most likely?
"صاحافي, أتكون خدما سعيبا, ياك?","Dude, you're a good worker, aren't you?"
لڭرافّوز ديالي ماخدّامش,my desk is not working
دايرا بحال شي تيليفون فلحيط,it's like a phone on the wall
علاش كايحساب ليك خلّيتو?,Why do you think you left him?
"موهيم, خلّينا نعطيوها فورصا بعدا!","Oh, let's give her a chance!"
واش عنداك شي قتيراحات كيفاش ندوي معاه فهادشي?,Do you have any suggestions on how to treat it?
زعما هوا عندو ضوبل ديال عمري,I think he is twice my age
النحس,the senses
"بنيسبا ليا, هيا أقراب حاديقا لداري","For me, it's really close to home"
كايعطص بزّاف,He is very thirsty
فوقاش ساليتي لخدما?,How long have you been on duty?
فييا ساهد,I'm a witness
فين إمكن نصبّن حوايجي?,Where can I put my things?
واش كيعجبك تيب ?,do you like teps?
ماكايعجبكش طيابي,you don't like my taste
أيخاسنا نديرو ختيبار.,Maybe we should do a paper.
هاد لكتوبا دياولنا,This is our book
غاناخود هادا تاهوا,I'll take this today
غادي يسبي هاد لكسيدا فيها,I'll put this in a box
أشمن لعبات عزاز عليك?,What games do you like?
ختي كاطّيب ف لكوزينا,My sister is a cook in the kitchen
ماعمرك ماحدرتي لشي حادات رييادي ?,How did you manage to get to the beach?
واش كاين شي سوأل أخور?,Are there any other questions?
والاكين مابغيتش ندير دورات,But I don't want to do rounds
ياكما كانو شي ماشاكيل?,Were there any problems?
أيخاساك تجي تزورني قريبان,if you ever come to visit me nearby
كاندن خايكون خالات,Can it be a sister
رجع لبلاصتك,get back to your place
سرطو,he's dead
داكشي علاش كانشاجعاك علا هاد لماسار,That's why I'm so fond of this dish
عندي لبشرا جافّا,I have a dry skin
توحشت عشيري,I'm tired of my hair
ماكايعجبنيش نغسل لمّاعن,I don't like to wash the dishes
شريف,Sheriff
عفاك ماتقيسش هاديك,please don't say that
سبغت شاعري,I'm a poet
"منين كايسكر بنادم, ماغايهتمش ب سناني","When he's drunk, I don't care about my teeth"
واش عندك شي بلاسّا كاتمشي ليها فاش كاتحسّ براسّك ماشي هوا هاداك ?,Do you have any places you go where you feel comfortable?
تخايال التولد فياوم لقيديس إڭناتيوس ولا عيد الصوعود,The idea of the birth of Saint Ignatius or the feast of the resurrection
"أُ أهام من هادشي, هاد لعالاقا كانت كاضّرك.","And most importantly, it was probably a mistake."
كايڭولّييّا كولشي,He's talking about everything
شحال ف الساعا,what time is it?
لويكاند,weekend
كيفاش كادير فلييام لي كاتكون فيهوم مسترسّي و عامر خدما ?,how are you on days when you're busy and busy?
"خديتي سوس, دابا","You took the sauce, now"
ماساء لخير,Good luck
سافي نسا,I'll forget
ماغاديش التيّق ليوم ليداوازت,I'm not going to be late
"أُه, أه راه شافت نضاضر","Oh, yeah, I've seen the lecture"
هووّا ناعس,he's asleep
واهد,it is
فيّا,I am
شهر تسعود,ninth month
كانتسنّاه يجي,I'm waiting for him to come
راد لبال,he is right
إمتا قطّعتي الطييّارا?,When did you get to fly?
واش نقاد ليك شوكلات سخون?,Do you want hot chocolate?
